data;

set H := 2 4 5 6 8 10 12 13 14 15 18 19 22 23 30;

set Hbar := 0 2 4 5 6 8 10 12 13 14 15 18 19 22 23 30;

set I := 6 7 8 9 10;

set A := 
  (5,6)
  (5,18)
  (5,10)
  (5,30)
  (5,15)
  (5,23)
  (5,14)
  (5,4)
  (5,2)
  (5,12)
  (5,19)
  (5,13)
  (5,22)
  (5,8)
  (5,0)
  (6,5)
  (6,18)
  (6,10)
  (6,30)
  (6,15)
  (6,23)
  (6,14)
  (6,4)
  (6,2)
  (6,12)
  (6,19)
  (6,13)
  (6,22)
  (6,8)
  (6,0)
  (18,5)
  (18,6)
  (18,10)
  (18,30)
  (18,15)
  (18,23)
  (18,14)
  (18,4)
  (18,2)
  (18,12)
  (18,19)
  (18,13)
  (18,22)
  (18,8)
  (18,0)
  (10,5)
  (10,6)
  (10,18)
  (10,30)
  (10,15)
  (10,23)
  (10,14)
  (10,4)
  (10,2)
  (10,12)
  (10,19)
  (10,13)
  (10,22)
  (10,8)
  (10,0)
  (30,5)
  (30,6)
  (30,18)
  (30,10)
  (30,15)
  (30,23)
  (30,14)
  (30,4)
  (30,2)
  (30,12)
  (30,19)
  (30,13)
  (30,22)
  (30,8)
  (30,0)
  (15,5)
  (15,6)
  (15,18)
  (15,10)
  (15,30)
  (15,23)
  (15,14)
  (15,4)
  (15,2)
  (15,12)
  (15,19)
  (15,13)
  (15,22)
  (15,8)
  (15,0)
  (23,5)
  (23,6)
  (23,18)
  (23,10)
  (23,30)
  (23,15)
  (23,14)
  (23,4)
  (23,2)
  (23,12)
  (23,19)
  (23,13)
  (23,22)
  (23,8)
  (23,0)
  (14,5)
  (14,6)
  (14,18)
  (14,10)
  (14,30)
  (14,15)
  (14,23)
  (14,4)
  (14,2)
  (14,12)
  (14,19)
  (14,13)
  (14,22)
  (14,8)
  (14,0)
  (4,5)
  (4,6)
  (4,18)
  (4,10)
  (4,30)
  (4,15)
  (4,23)
  (4,14)
  (4,2)
  (4,12)
  (4,19)
  (4,13)
  (4,22)
  (4,8)
  (4,0)
  (2,5)
  (2,6)
  (2,18)
  (2,10)
  (2,30)
  (2,15)
  (2,23)
  (2,14)
  (2,4)
  (2,12)
  (2,19)
  (2,13)
  (2,22)
  (2,8)
  (2,0)
  (12,5)
  (12,6)
  (12,18)
  (12,10)
  (12,30)
  (12,15)
  (12,23)
  (12,14)
  (12,4)
  (12,2)
  (12,19)
  (12,13)
  (12,22)
  (12,8)
  (12,0)
  (19,5)
  (19,6)
  (19,18)
  (19,10)
  (19,30)
  (19,15)
  (19,23)
  (19,14)
  (19,4)
  (19,2)
  (19,12)
  (19,13)
  (19,22)
  (19,8)
  (19,0)
  (13,5)
  (13,6)
  (13,18)
  (13,10)
  (13,30)
  (13,15)
  (13,23)
  (13,14)
  (13,4)
  (13,2)
  (13,12)
  (13,19)
  (13,22)
  (13,8)
  (13,0)
  (22,5)
  (22,6)
  (22,18)
  (22,10)
  (22,30)
  (22,15)
  (22,23)
  (22,14)
  (22,4)
  (22,2)
  (22,12)
  (22,19)
  (22,13)
  (22,8)
  (22,0)
  (8,5)
  (8,6)
  (8,18)
  (8,10)
  (8,30)
  (8,15)
  (8,23)
  (8,14)
  (8,4)
  (8,2)
  (8,12)
  (8,19)
  (8,13)
  (8,22)
  (8,0)
;

param rho := 5;
param alpha := 0;
param M := 122;

param pk := 
  [6] 2.0
  [7] 1.5
  [8] 1.5
  [9] 1.0
  [10] 1.0
;

param Si := 
  [2] 849
  [4] 816
  [5] 754
  [6] 478
  [8] 831
  [10] 234
  [12] 680
  [13] 806
  [14] 911
  [15] 412
  [18] 501
  [19] 185
  [22] 306
  [23] 858
  [30] 589
;

param Delta := 
  [2] 1443.3
  [4] 1387.2
  [5] 1281.8
  [6] 956.0
  [8] 1412.7
  [10] 468.0
  [12] 1360.0
